feature,importance
coffee_species_Liberica,0.1132700310199238
defect_count_per_300g,0.06654151284951643
soil_pH,0.06637692438620675
annual_rainfall_mm,0.051511152365541955
years_in_farming,0.04997014357946636
elevation_masl,0.04687549623667644
moisture_content_pct,0.04673761820040621
coffee_species_Robusta,0.043672812884785674
non_bearing_trees,0.041367854942570614
bearing_trees,0.039522662153978066
annual_yield_kg,0.03811722672995227
mean_temperature_C,0.035785725132255204
coffee_species_Excelsa,0.026919577716863752
processing_method_Washed,0.02007379307417204
processing_method_Honey,0.017079481994300448
cooperative_member_No,0.015393281768538688
cooperative_member_Yes,0.013916374315939516
coffee_species_Arabica,0.013817516849577296
sales_records_maintained_Yes,0.011240825103735797
geographic_compliance_Yes,0.010711977804632502
farm_records_maintained_No,0.01051726539106976
geographic_compliance_No,0.00986670547158694
farm_records_maintained_Yes,0.009858844940889587
sales_records_maintained_No,0.009766282922807838
quality_linkage_documented_No,0.009735705791047012
traditional_method_compliance_Yes,0.009585751013625231
quality_linkage_documented_Yes,0.009527187534660673
traditional_method_compliance_No,0.009360251620498772
planting_system_Agroforestry,0.008770991343764063
planting_system_Monocrop,0.008112556368922986
processing_method_Natural,0.007705744619304389
selective_picking_practiced_No,0.007471095182028068
rsbsa_registered_No,0.006957817456581146
barangay_Sabang,0.00672914172214952
selective_picking_practiced_Yes,0.0063976830174119915
rsbsa_registered_Yes,0.005470016110403283
farm_ownership_Leased,0.005447289817720093
farm_ownership_Owned,0.004695369842803245
barangay_San Benito,0.004636719514486845
farm_ownership_Shared,0.0042352930131649815
barangay_Calamias,0.0037541570897722805
barangay_Barangay III,0.003428477835284372
barangay_Balintawak,0.0028403020868071633
barangay_Bubuyan,0.0027495284359904675
barangay_Lumbang,0.002652299705287593
barangay_Mabini,0.0025410593607571026
barangay_Pinagkawitan,0.002522122184286346
barangay_Latag,0.002384402323003822
barangay_Dagatan,0.0023567895351712283
barangay_Plaridel,0.0022284736362200522
barangay_Tangob,0.002204838779338803
barangay_Barangay II,0.002126941878430784
barangay_San Salvador,0.0019782330092218323
barangay_San Lucas,0.001974775886984652
barangay_Barangay IV,0.00196959367809805
barangay_Barangay VIII,0.0019165399452639991
barangay_San Carlos,0.0017606105587685864
barangay_Bagong Pook,0.001729267302758681
barangay_Inosluban,0.00172446671924461
barangay_Pangao,0.0017087972388683198
barangay_Quezon,0.0016772808788917688
barangay_Mojon,0.0016503430452280876
barangay_Halang,0.0016394783221553588
barangay_Pinagtongulan,0.0016338412742696515
barangay_Malagonlong,0.001617093996595199
barangay_Barangay VII,0.001546479015244789
barangay_Maraouy,0.0015434953694313603
barangay_Cumba,0.0015003745158685192
barangay_Poblacion Barangay,0.0014905581277328247
barangay_Santol,0.0014653484183377533
barangay_Barangay I,0.0013278739505985465
barangay_San Francisco,0.0013090981183634526
barangay_Tambo,0.001269798753800718
barangay_San Jose,0.0012668491035097056
barangay_Kayumanggi,0.0012490889394493635
barangay_Barangay VI,0.0011793985257038662
barangay_Talisay,0.0010261934574802487
barangay_Lodlod,0.001026012146385496
barangay_Sampaguita,0.0009809070651065459
barangay_Banaybanay,0.0009646441652708154
barangay_Bolbok,0.0009389273420544242
barangay_Barangay V,0.0007738412796773189
barangay_Anilao,0.0006216951953192396
